topic_number,perplexity,coherence
1,-8.281518974062855,0.2710496196457557
2,-8.511971283695456,0.2824099206722809
3,-8.714126151639416,0.2987583571007854
4,-8.913298986525016,0.265714735630839
5,-9.062420321092102,0.29954809039029545
6,-9.170588210531509,0.3620249875906812
7,-9.289791947721724,0.3111726816804349
8,-9.414306201481079,0.31294480817369097
9,-9.553387784819392,0.3051856812485369
10,-9.66791650046856,0.33634916607083043
11,-9.796368681296455,0.32373421993174806
12,-9.964281743998761,0.3557974677579696
13,-10.02862333237764,0.3857255110375685
14,-10.124703255965356,0.3640234128895347
